2025-04-15 13:13:25,723 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'Predicted Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'Predicted Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Predicted Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:14:13,403 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'True Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'True Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'True Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:14:13,407 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'Predicted Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'Predicted Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Predicted Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:15:00,968 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'True Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'True Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'True Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:15:00,970 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'Predicted Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'Predicted Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Predicted Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:15:48,528 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'True Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'True Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'True Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:15:48,531 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'Predicted Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'Predicted Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Predicted Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:16:36,162 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'True Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'True Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'True Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:16:36,162 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'Predicted Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'Predicted Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Predicted Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:17:23,910 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'True Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'True Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'True Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:17:23,911 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'Predicted Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'Predicted Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Predicted Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:18:11,376 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'True Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'True Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'True Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:18:11,378 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'Predicted Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'Predicted Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Predicted Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:18:58,763 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'True Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'True Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'True Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:18:58,765 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'Predicted Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'Predicted Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Predicted Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:19:46,199 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'True Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'True Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'True Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:19:46,201 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'Predicted Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'Predicted Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Predicted Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:19:46,465 INFO    MainThread:2671111 [wandb_run.py:_finish():2112] finishing run lakej98-nyu-langone-health/optuna_sleep_stage_classification/vfwcnlb0
2025-04-15 13:19:46,467 ERROR   MainThread:2671111 [jupyter.py:save_history():450] Run pip install nbformat to save notebook history
2025-04-15 13:19:46,467 INFO    MainThread:2671111 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-04-15 13:19:46,467 INFO    MainThread:2671111 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-04-15 13:19:46,467 INFO    MainThread:2671111 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-04-15 13:19:46,467 INFO    MainThread:2671111 [wandb_run.py:_restore():2322] restore
2025-04-15 13:19:46,467 INFO    MainThread:2671111 [wandb_run.py:_restore():2328] restore done
2025-04-15 13:19:47,721 INFO    MainThread:2671111 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-04-15 13:19:47,722 INFO    MainThread:2671111 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-04-15 13:19:47,723 INFO    MainThread:2671111 [wandb_run.py:_footer_sync_info():3917] logging synced files
